Period,Programme,Project ID (2021-2027 only),Project acronym,Project name,Description,Expected Achievements,Project start,Project end,Relevant mentions and prizes,Project's total budget / expenditure,Project's EU funding,Union co-financing rate,Contributing EU funds,Programme specific objective (2021-2027 only),Type of intervention (2021-2027 only),Programme Priority (2021-2027 only),Operation of strategic importance (OSI) or project above EUR 5 million,Policy Objective (Interreg Specific Objective),Theme 1,Theme 2,Theme 3,Number of Partners,ERDF Contribution (amount),ERDF Contribution (co-financing rate),ERDF equivalent (amount ),ERDF equivalent (co-financing rate ),ERDF equivalent (source ),Delivered output indicators (2021-2027 only),Delivered result indicators (2021-2027 only),European Union MRSs to which the project contributes,Website,Project is Small Project (2021-2027 only),Call serial number
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#P003,RegenT,Integrating Regenerative Practices in Nature and Cultural Tourism​,"The Baltic Sea Region (BSR) faces challenges from climate change, with tourism both contributing to and being affected by it. Due to its reliance on natural and cultural assets, tourism has a unique responsibility to protect the environment. To address this, tourism strategies need to shift from merely sustaining to actively restoring the region’s natural and cultural assets. Regenerative tourism responds to this need by taking a holistic approach to enhancing cultural and natural assets, bringing together organisations from multiple sectors to benefit local communities.

RegenT addresses the need for information and capacity-building in regenerative tourism by providing essential resources to public authorities, particularly regional and local decision-makers and public officers involved in strategic planning and resource allocation. Building on the achievements of seven projects that collectively advance regenerative tourism, RegenT offers a platform with two interlinked components: a knowledge platform and a platform for learning, knowledge exchange, and networking. The participating projects have, e.g., developed innovative solutions for attracting off-season tourists, created climate resilience guidelines, and supported local food networks.

RegenT promotes systemic changes in the tourism industry across the BSR. By doing that, RegenT contributes to Priority 1.1 Resilient Economies and Communities, particularly the topic 'Advancing natural and cultural heritage assets'.","The Baltic Sea Region (BSR) faces challenges from climate change, with tourism both contributing to and being affected by it. Due to its reliance on natural and cultural assets, tourism has a unique responsibility to protect the environment. To address this, tourism strategies need to shift from merely sustaining to actively restoring the region’s natural and cultural assets. Regenerative tourism responds to this need by taking a holistic approach to enhancing cultural and natural assets, bringing together organisations from multiple sectors to benefit local communities.

RegenT addresses the need for information and capacity-building in regenerative tourism by providing essential resources to public authorities, particularly regional and local decision-makers and public officers involved in strategic planning and resource allocation. Building on the achievements of seven projects that collectively advance regenerative tourism, RegenT offers a platform with two interlinked components: a knowledge platform and a platform for learning, knowledge exchange, and networking. The participating projects have, e.g., developed innovative solutions for attracting off-season tourists, created climate resilience guidelines, and supported local food networks.

RegenT promotes systemic changes in the tourism industry across the BSR. By doing that, RegenT contributes to Priority 1.1 Resilient Economies and Communities, particularly the topic 'Advancing natural and cultural heritage assets'.",2025-07-01,2028-06-30,0.0,1196097.0,956877.6,80%,ERDF,ISO6.6. Other actions to support better cooperation governance (all strands),"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_4) Cooperation governance,True,PO6 (ISO1) A better cooperation governance,Tourism,Community integration and common identity,Knowledge and technology transfer,6,956877.6,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/regent/,False,P1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C029,RenoWave,One-Stop-Shop extended model to increase the multi-apartment building stock renovation in the BSR,"In the EU, there is a huge energy efficiency (EE) potential in the residential multi-apartment building stock. 1/3 of the EU’s buildings are over 50 years old with only very few (ca. 1%) being renovated each year. These buildings are not, in general, professionally managed. The renovation decision is complicated due to multiple apartment owners, insufficient information on the current energy profile and potential benefits of the renovation.

The concept of EE renovation support exists in a form of one-stop-shop (OSS), which is a virtual and/or physical place where building owners can find all information and services they need to implement an ambitious global energy renovation project. Project partners identified that in their countries OSS as a complete system rarely exists, but different services that belong to the OSS are offered in a fragmented way. It means that the flow of OSS services that would otherwise engage and support the homeowner step by step from the start to the end of the process, is not provided according to the logic of the renovation journey, and the homeowner either stops in the middle of the journey or finds it difficult to even start it.

The project develops One-Stop-Shop (OSS) extended model specifically designed for the multi-apartment buildings in BSR countries. The OSS model includes traditional and additional OSS services that cover all the steps that are necessary to initiate and implement EE renovation projects in multi-apartment buildings.","In the EU, there is a huge energy efficiency (EE) potential in the residential multi-apartment building stock. 1/3 of the EU’s buildings are over 50 years old with only very few (ca. 1%) being renovated each year. These buildings are not, in general, professionally managed. The renovation decision is complicated due to multiple apartment owners, insufficient information on the current energy profile and potential benefits of the renovation.

The concept of EE renovation support exists in a form of one-stop-shop (OSS), which is a virtual and/or physical place where building owners can find all information and services they need to implement an ambitious global energy renovation project. Project partners identified that in their countries OSS as a complete system rarely exists, but different services that belong to the OSS are offered in a fragmented way. It means that the flow of OSS services that would otherwise engage and support the homeowner step by step from the start to the end of the process, is not provided according to the logic of the renovation journey, and the homeowner either stops in the middle of the journey or finds it difficult to even start it.

The project develops One-Stop-Shop (OSS) extended model specifically designed for the multi-apartment buildings in BSR countries. The OSS model includes traditional and additional OSS services that cover all the steps that are necessary to initiate and implement EE renovation projects in multi-apartment buildings. ",2023-01-01,2025-12-31,0.0,3458637.1,2766909.68,80%,ERDF,RSO2.1. Promoting energy efficiency and reducing greenhouse gas emissions,"044 Energy efficiency renovation or energy efficiency measures regarding public infrastructure, demonstration projects and supporting measures",(VI-B_BSR_3) Climate-neutral societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Energy efficiency,,,11,2766909.68,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/renowave/,False,C1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C046,RoundGoby,Promoting commercial fishing of Round Goby in the Baltic Sea,"Baltic Sea fishery currently experiences severe limits of total allowable catches for traditional fish species (cod, herring). At same time, the Round Goby (RG), an invasive fish species to the Baltic Sea, is not subject to these limits. It is by now the predominant fish species in many Baltic coastal areas and is continuously increasing its range and abundance. This has negative effects on epibenthic mollusks and native fish roe; but national initiatives to address this potentially new resource, and hence mitigate its negative impacts, have so far been scarce. Moreover, fishery opportunities are so far limited as with current fishing gear by-catch of native smaller species is a risk. Also, whereas RG is commonly used for human consumption in the Black Sea region, it is neither known to Baltic consumers nor are fish processing lines adapted to its small size. Latvia is currently the only BSR country that has commercial RG fishing for export and a RG management scheme. Through transnational cooperation and competence-building of fishers, gear manufacturers, the industry and relevant regulatory authorities, the Round Goby project will promote RG fishing by exploring management options, develop jointly approved fishing methods and report systems as well as showcase production of high value products for local markets. The project will open new opportunities for Baltic fishermen while reducing the population of an invasive species which threatens the Baltic Sea’s biodiversity.","Baltic Sea fishery currently experiences severe limits of total allowable catches for traditional fish species (cod, herring). At same time, the Round Goby (RG), an invasive fish species to the Baltic Sea, is not subject to these limits. It is by now the predominant fish species in many Baltic coastal areas and is continuously increasing its range and abundance. This has negative effects on epibenthic mollusks and native fish roe; but national initiatives to address this potentially new resource, and hence mitigate its negative impacts, have so far been scarce. Moreover, fishery opportunities are so far limited as with current fishing gear by-catch of native smaller species is a risk. Also, whereas RG is commonly used for human consumption in the Black Sea region, it is neither known to Baltic consumers nor are fish processing lines adapted to its small size. Latvia is currently the only BSR country that has commercial RG fishing for export and a RG management scheme. Through transnational cooperation and competence-building of fishers, gear manufacturers, the industry and relevant regulatory authorities, the Round Goby project will promote RG fishing by exploring management options, develop jointly approved fishing methods and report systems as well as showcase production of high value products for local markets. The project will open new opportunities for Baltic fishermen while reducing the population of an invasive species which threatens the Baltic Sea’s biodiversity.",2023-11-01,2026-10-31,0.0,3716984.0,2973587.2,80%,ERDF,RSO2.5. Promoting access to water and sustainable water management,"079 Nature and biodiversity protection, natural heritage and resources, green and blue infrastructure",(VI-B_BSR_2) Water smart societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Coastal management and maritime issues,Agriculture and fisheries and forestry,,17,2973587.2,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/roundgoby/,False,C2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#P006,SEABAS,Strategic ecosystem-based planning for sustainable future of the Baltic Sea,"The aim of this project platform is to build on the outcomes of existing and previous projects to establish a regional framework for integrating Strategic Environmental Assessment (SEA) within Maritime Spatial Planning (MSP) across the Baltic Sea region. More specifically, the project platform aims to strengthen the role of MSP in promoting sustainable blue economy and enhancing the management of human activities at sea, as a key element of ecosystem-based approach. As a significant component of the SEA, the platform also aims to develop methodological recommendations for cumulative impact assessment (CIA) in transboundary context as core element of SEA in MSP. By synthesizing and validating prior SEA and CIA practices and recommendations, this platform will refine practical tools and guidelines to address transboundary challenges such as climate change, renewable energy expansion, and biodiversity conservation. Through collaborative workshops, capacity-building initiatives, and pilot applications, the project platform will leverage validated methodologies, ensure the long-term adoption of SEA and CIA, and enhance interoperability between assessment tools. Ultimately, this platform will enable more sustainable, resilient, and collaborative MSP processes across the region.","The aim of this project platform is to build on the outcomes of existing and previous projects to establish a regional framework for integrating Strategic Environmental Assessment (SEA) within Maritime Spatial Planning (MSP) across the Baltic Sea region. More specifically, the project platform aims to strengthen the role of MSP in promoting sustainable blue economy and enhancing the management of human activities at sea, as a key element of ecosystem-based approach. As a significant component of the SEA, the platform also aims to develop methodological recommendations for cumulative impact assessment (CIA) in transboundary context as core element of SEA in MSP. By synthesizing and validating prior SEA and CIA practices and recommendations, this platform will refine practical tools and guidelines to address transboundary challenges such as climate change, renewable energy expansion, and biodiversity conservation. Through collaborative workshops, capacity-building initiatives, and pilot applications, the project platform will leverage validated methodologies, ensure the long-term adoption of SEA and CIA, and enhance interoperability between assessment tools. Ultimately, this platform will enable more sustainable, resilient, and collaborative MSP processes across the region.",2025-07-01,2027-12-31,0.0,1175863.19,940690.55,80%,ERDF,ISO6.6. Other actions to support better cooperation governance (all strands),"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_4) Cooperation governance,True,PO6 (ISO1) A better cooperation governance,Climate change and biodiversity,Renewable energy,Coastal management and maritime issues,9,940690.55,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/seabas/,False,P1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C055,SUMPs for BSR,SUMPs for BSR – enhancing effective Sustainable Urban Mobility Planning for supporting active mobility in BSR cities,"Cities in the BSR battle with the transition to sustainable mobility and efficient urban planning to fight the climate crisis. Car traffic is still favored in existing plans. The project supports cities in shifting their planning practices towards people-centered sustainable urban mobility planning, focusing on active mobility modes and promoting an active and healthy lifestyle for citizens, while reducing emissions from traffic. Special focus lies on small and mid-sized BSR cities in preparing and implementing Sustainable Urban Mobility Plans (SUMP). The project aims to increase the uptake of SUMPs as a strategic tool for sustainable mobility planning by developing tools and offering extensive capacity building for local authorities. SUMPs for BSR will develop a common framework on monitoring and evaluation for sustainable urban mobility planning that supports cities in the region to set up sound local processes. This helps to evaluate the performance of the local mobility system and to provide crucial information for planning and decision making.The project will develop a model for cities to test and experiment with innovative mobility solutions focusing on active modes such as walking and cycling and change of public spaces. The overall objective is to support BSR cities to develop urban transport systems that are safe, accessible, inclusive, affordable, smart, resilient, and emission-free.","Cities in the BSR battle with the transition to sustainable mobility and efficient urban planning to fight the climate crisis. Car traffic is still favored in existing plans. The project supports cities in shifting their planning practices towards people-centered sustainable  urban mobility planning, focusing on active mobility modes and promoting an active and healthy lifestyle for citizens, while reducing emissions from traffic. Special focus lies on small and mid-sized BSR cities in preparing and implementing Sustainable Urban Mobility Plans (SUMP). The project aims to  increase the uptake of SUMPs as a strategic tool for sustainable mobility planning by developing tools and offering extensive capacity building for local authorities. SUMPs for BSR will develop a common framework on monitoring and evaluation for sustainable urban mobility planning that supports cities in the region to set up sound local processes. This helps to evaluate the performance of the local mobility system and to provide crucial information for planning and decision making.The project will develop a model for cities to test and experiment with innovative mobility solutions focusing on active modes such as walking and cycling and change of public spaces. The overall objective is to support BSR cities to develop urban transport systems that are safe, accessible, inclusive, affordable, smart, resilient, and emission-free.",2023-11-01,2026-10-31,0.0,3072211.79,2457769.42,80%,ERDF,"RSO2.8. Promoting sustainable multimodal urban mobility, as part of transition to a net zero carbon economy","173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_3) Climate-neutral societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Innovation capacity and awareness-raising,Transport and mobility,Urban development,9,2457769.42,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/sumpsforbsr/,False,C2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C067,SchoolChanger,"Empowering young generations to help municipalities and public institutions in the Baltic Sea Region develop smart, nature-based, sense-friendly, and socially responsible solutions reinforcing their well-being","The mental health of EU youth is in crisis. Around 20% of EU teenagers face mental health challenges that not only affect their personal lives but also have profound implications on their educational outcomes. Recognizing the key role of school environments in influencing student well-being, our project seeks to find the ways to transform schools into nurturing grounds for well-being. We revealed a striking gap in youth engagement in decisions related to school environments and a common thought: students feel unnoticed in decisions that directly impact their daily lives and mental well-being.
To address this, we will develop an innovative model of cooperation that encourages joint activities and communication between students, teachers, school management, and professionals in design, furniture, welfare technology, and medicine. It will embrace the principles of sensory design and inclusivity, ensuring spaces meet the diverse needs of all students while fostering social and ecological responsibility. By involving students in the decision-making process, we aim to cultivate a culture of engagement from an early age, setting the stage for them to become proactive members of their communities.
SchoolChanger is more than an idea for redesign of spaces; it's a step towards redefining educational experiences and thus improving public services. By empowering students to shape their surroundings, we're building the confident, creative, and community-minded leaders of tomorrow.","The mental health of EU youth is in crisis. Around 20% of EU teenagers face mental health challenges that not only affect their personal lives but also have profound implications on their educational outcomes. Recognizing the key role of school environments in influencing student well-being, our project seeks to find the ways to transform schools into nurturing grounds for well-being. We revealed a striking gap in youth engagement in decisions related to school environments and a common thought: students feel unnoticed in decisions that directly impact their daily lives and mental well-being.
To address this, we will develop an innovative model of cooperation that encourages joint activities and communication between students, teachers, school management, and professionals in design, furniture, welfare technology, and medicine. It will embrace the principles of sensory design and inclusivity, ensuring spaces meet the diverse needs of all students while fostering social and ecological responsibility. By involving students in the decision-making process, we aim to cultivate a culture of engagement from an early age, setting the stage for them to become proactive members of their communities.
SchoolChanger is more than an idea for redesign of spaces; it's a step towards redefining educational experiences and thus improving public services. By empowering students to shape their surroundings, we're building the confident, creative, and community-minded leaders of tomorrow.",2025-03-01,2028-02-29,0.0,1709000.0,1367200.0,80%,ERDF,RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,Social inclusion and equal opportunities,Labour market and employment,Health and social services,9,1367200.0,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/schoolchanger/,False,C3.2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C062,SmartAging,Nordic Vitality Environments/​ Smart ageing with Nordic wellness indoors​,"This project addresses the challenge of improving the well-being and daily living conditions of the senior citizens through innovative technological and service solutions with focus on preventive actions. In this project the target groups include senior care providers, municipal authorities, NGOs, and seniors themselves, particularly in the Baltic Sea Region. These stakeholders are struggling to provide environments that support the health, safety, and active involvement of the elderly. Conventional methods and existing infrastructures are failing to fulfil the complex needs of the elderly. Specific obstacles include restricted access to state-of-the-art technology, inadequate incorporation of user-centered design principles, and a shortage of comprehensive training for service providers on implementing and utilizing new technologies efficiently. These barriers can be overcome with this project. By conducting thorough needs assessments, we identify and map the specific requirements of seniors. These needs can then be met through technology solutions, such as home automation, antimicrobial surfaces, and smart furniture. Piloting and evaluating these solutions in real-world settings ensures their effectiveness. Furthermore, this project provides comprehensive training programs and dissemination materials to equip service providers with the necessary skills and knowledge. This project improves care for seniors by enhancing provider skills and integrating tech for better living","This project addresses the challenge of improving the well-being and daily living conditions of the senior citizens through innovative technological and service solutions with focus on preventive actions. In this project the target groups include senior care providers, municipal authorities, NGOs, and seniors themselves, particularly in the Baltic Sea Region. These stakeholders are struggling to provide environments that support the health, safety, and active involvement of the elderly. Conventional methods and existing infrastructures are failing to fulfil the complex needs of the elderly. Specific obstacles include restricted access to state-of-the-art technology, inadequate incorporation of user-centered design principles, and a shortage of comprehensive training for service providers on implementing and utilizing new technologies efficiently. These barriers can be overcome with this project. By conducting thorough needs assessments, we identify and map the specific requirements of seniors. These needs can then be met through technology solutions, such as home automation, antimicrobial surfaces, and smart furniture. Piloting and evaluating these solutions in real-world settings ensures their effectiveness. Furthermore, this project provides comprehensive training programs and dissemination materials to equip service providers with the necessary skills and knowledge. This project improves care for seniors by enhancing provider skills and integrating tech for better living",2025-03-01,2028-02-29,0.0,1116706.0,893364.8,80%,ERDF,"RSO1.4. Developing skills for smart specialisation, industrial transition and entrepreneurship","173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,Social inclusion and equal opportunities,Health and social services,Knowledge and technology transfer,5,893364.8,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/smartaging/,False,C3.2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C052,StartSun,Start-ups for Solar Energy Communities,"For green transition in BSR, local authorities, SMEs and citizens/interest groups need to raise their capacity - learn new skills how to establish and operate energy communities. For this they need compiled information and good pilot samples to build trust in energy community models that would encourage them to establish more energy communities. 
StartSun project will tackle the start-up challenge of establishing energy communities by creating the necessary knowledge, documentation and first experience-pilots thus enabling further creation of energy communities in BSR, using the locally available resources, serving its greater energy independence in electricity sector and keeping jobs in the communities. The Baltic Sea Region countries have implemented and interpreted the Electricity Market Directive and the Renewable Energy Directive differently. Citizen energy communities and renewable energy communities are two names for energy communities that have been introduced through the directives. This project aims to overcome the energy community start up gap, providing Start-Up package for establishing energy communities and will pilot six different types of energy communities through research-based methods, and exchange experience between them to strengthen and speed up creation of energy communities in the BSR.","For green transition in BSR, local authorities, SMEs and citizens/interest groups need to raise their capacity - learn new skills how to establish and operate energy communities. For this they need compiled information and good pilot samples to build trust in energy community models that would encourage them to establish more energy communities. 
StartSun project will tackle the start-up challenge of establishing energy communities by creating the necessary knowledge, documentation and first experience-pilots thus enabling further creation of energy communities in BSR, using the locally available resources, serving its greater energy  independence in electricity sector and keeping jobs in the communities. The Baltic Sea Region countries have implemented and interpreted the Electricity Market Directive and the Renewable Energy Directive differently. Citizen energy communities and renewable energy communities are two names for energy communities that have been introduced through the directives. This project aims to overcome the energy community start up gap, providing Start-Up package for establishing energy communities and will pilot six different types of energy communities through research-based methods, and exchange experience between them to strengthen and speed up creation of energy communities in the BSR.  


 ",2023-11-01,2026-10-31,0.0,3202068.22,2561654.54,80%,ERDF,RSO2.1. Promoting energy efficiency and reducing greenhouse gas emissions,"046 Support to entities that provide services contributing to the low carbon economy and to resilience to climate change, including awareness-raising measures",(VI-B_BSR_3) Climate-neutral societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Energy efficiency,Institutional cooperation and cooperation networks,Renewable energy,14,2561654.54,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/startsun/,False,C2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#S005,StratKIT+,Innovative Strategies for Public Catering: the Expansion of the Sustainable Public Meal Toolkit,"To achieve more healthy and sustainable food consumption in the public sector in the BSR is the main challenge addressed by StratKIT+ project as there are many institutional, economic, social and psychological barriers to implement high-quality criteria for the public procurement and catering services. 

Public meal organisations need support, guidance and networks in incorporating environmental targets and strategies to their main task of serving nutritionally adequate meals. Authorities need more knowledge on food and public meals to prioritize better and send right messages to the food service providers.There is a variety of actors, i.e. national authorities, NGOs, etc that offer a support but the information would benefit from increased accuracy and availability, such as offered by Sustainable Public Meal Toolkit+. Pedagogues lack time, knowledge, support and the assignment to aid new generations in forming their sustainability capacity in relation to food consumption. All the actors could and should cooperate better to tackle possible lack of experience, motivation and knowledge. Municipalities and food service providers should be able to respond quickly to challenges affected by legal regulations, social changes and different crises, while at the same time not being afraid or reluctant to become local pioneers in GPP or vegan public meals. Addressing it all, StratKIT+ will contribute with a variety of ways to increased sustainability of public meals in BSR."," To achieve  more healthy  and sustainable food consumption in the public sector in the BSR is the main challenge   addressed by StratKIT+ project as there are many institutional, economic, social and psychological barriers to implement high-quality criteria for the public procurement and catering services.  

Public meal organisations need support, guidance and networks in incorporating environmental targets and strategies to their main task of serving nutritionally adequate meals. Authorities  need more knowledge on food and public meals to prioritize better and send right messages to the food service providers.There is a variety of actors, i.e.  national authorities, NGOs, etc that offer a support but the information would benefit from increased accuracy and availability, such as offered by Sustainable Public Meal Toolkit+. Pedagogues lack time, knowledge, support and the assignment to aid new generations in forming their sustainability capacity in relation to food consumption. All the actors could and should cooperate better to tackle possible lack of experience, motivation and knowledge.   Municipalities and food service providers should be able to respond quickly to challenges affected by legal regulations, social changes and different crises, while at the same time not being afraid or reluctant to become local pioneers in GPP or vegan public meals. Addressing it all, StratKIT+  will contribute with a variety of ways to increased  sustainability of  public meals in BSR.",2022-10-01,2024-03-31,0.0,499994.53,399995.6,80%,ERDF,RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,Health and social services,Knowledge and technology transfer,,15,399995.6,80%,,,,RCO87 - Organisations cooperating across borders: 25,PSR1 - Organisations with increased institutional capacity: 73,EUSBSR,https://interreg-baltic.eu/project/stratkitplus/,False,S1
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C042,Supported by Nature,Supported by Nature - nature based solution learning sites for a sustainable Baltic Sea,"The aim is to increase the understanding of Nature Based Solutions (NBS) and how they contribute to improved environmental conditions for the Baltic Sea with the long term goal that a better knowledge foundation will lead to more frequent and adequate use of NBS in planning processes, as well as land- and seascape management. During the project, a number of NBS Learning Sites will be developed particularly focused on NBS connected to Multifunctional Wetlands, Coastal Water Habitats, and Watercourse Restoration. The project will pilot 1) Methods of establishing NBS Learning Sites through collaborative multi-stakeholder approaches (learning by doing), and 2) Methods to increase understanding of NBS through activities at Learning Sites (learning by experiencing). The partnership is biosphere reserves and universities in the Baltic Sea Region since their mission is to develop sustainable solutions, they involve a broad spectra of local stakeholders to enhance sustainability, and they have capacity to increase ocean literacy but are in need of areas for demonstration and knowledge generation. As endusers of the project output, BRs ensure its durability. The development of NBS Learning Sites will involve municipal technical staff, university programs with landscape approach, students, NGOs, and interest groups. After joint evaluation and refining of pilots, a broader implementation amongst project partners is applied and showcased as good practices outside the partnership.","The aim is to increase the understanding of Nature Based Solutions (NBS) and how they contribute to improved environmental conditions for the Baltic Sea with the long term goal that a better knowledge foundation will lead to more frequent and adequate use of NBS in planning processes, as well as land- and seascape management. During the project, a number of NBS Learning Sites will be developed particularly focused on NBS connected to Multifunctional Wetlands, Coastal Water Habitats, and Watercourse Restoration. The project will pilot 1) Methods of establishing NBS Learning Sites through collaborative multi-stakeholder approaches (learning by doing), and 2) Methods to increase understanding of NBS through activities at Learning Sites (learning by experiencing). The partnership is biosphere reserves and universities in the Baltic Sea Region since their mission is to develop sustainable solutions, they involve a broad spectra of local stakeholders to enhance sustainability, and they have capacity to increase ocean literacy but are in need of areas for demonstration and knowledge generation. As endusers of the project output, BRs ensure its durability. The development of NBS Learning Sites will involve municipal technical staff, university programs with landscape approach, students, NGOs, and interest groups. After joint evaluation and refining of pilots, a broader implementation amongst project partners is applied and showcased as good practices outside the partnership.",2023-11-01,2026-10-31,0.0,4471190.36,3576952.28,80%,ERDF,RSO2.5. Promoting access to water and sustainable water management,"079 Nature and biodiversity protection, natural heritage and resources, green and blue infrastructure",(VI-B_BSR_2) Water smart societies,False,"PO2 A greener, low-carbon transitioning towards a net zero carbon economy and resilient Europe by promoting clean and fair energy transition, green and blue investment, the circular economy, climate change mitigation and adaptation, risk prevention and management, and sustainable urban mobility",Sustainable management of natural resources,Coastal management and maritime issues,,10,3576952.28,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/supported-by-nature/,False,C2
2021-2027,2021 - 2027 Interreg VI-B Baltic Sea Region,#C012,SusTool,Sustainability Reporting Tool,"EU law requires certain companies to disclose information on the way they operate and manage social and environmental challenges. In April 2021, the EC adopted a proposal for a Corporate Sustainability Reporting Directive (CSRD), which would amend the existing reporting requirements. The proposal extends the scope to all large companies and all companies listed on regulated markets, including listed SMEs. 

For several reasons, sustainability reporting is expected to increase also among the companies that are not obliged by the law. A reporting company is expected to report certain data also on its suppliers´ sustainability parameters (eg scope 3 GHG emissions) and will in the near future request that data from a large number of SMEs that are part of its value chain. 

Currently, the sustainability information reported by companies differs from one company to another. The lack of precision in the current requirements and the complexity of the directives and regulations has resulted in many private reporting standards and frameworks.

The project develops and pilots the solution for the target groups - Sustainability Reporting Tool consisting of:

- a digital reporting environment with the guidance of what data to submit that allows the service and ICT sector companies to see and evaluate their performance in the required sustainability areas;
- recommendations for companies on how to efficiently align their operations with the required sustainability parameters.","EU law requires certain companies to disclose information on the way they operate and manage social and environmental challenges. In April 2021, the EC adopted a proposal for a Corporate Sustainability Reporting Directive (CSRD), which would amend the existing reporting requirements. The proposal extends the scope to all large companies and all companies listed on regulated markets, including listed SMEs. 

For several reasons, sustainability reporting is expected to increase also among the companies that are not obliged by the law. A reporting company is expected to report certain data also on its suppliers´ sustainability parameters (eg scope 3 GHG emissions) and will in the near future request that data from a large number of SMEs that are part of its value chain. 

Currently, the sustainability information reported by companies differs from one company to another. The lack of precision in the current requirements and the complexity of the directives and regulations has resulted in many private reporting standards and frameworks.

The project develops and pilots the solution for the target groups - Sustainability Reporting Tool consisting of:

- a digital reporting environment with the guidance of what data to submit that allows the service and ICT sector companies to see and evaluate their performance in the required sustainability areas;
- recommendations for companies on how to efficiently align their operations with the required sustainability parameters. ",2023-01-01,2025-12-31,0.0,3461324.0,2769059.2,80%,ERDF,RSO1.1. Developing and enhancing research and innovation capacities and the uptake of advanced technologies,"173 Enhancing institutional capacity of public authorities and stakeholders to implement territorial cooperation projects and initiatives in a cross-border, transnational, maritime and inter-regional context",(VI-B_BSR_1) Innovative societies,False,PO1 A more competitive and smarter Europe by promoting innovative and smart economic transformation and regional ICT connectivity,ICT and digital society,"Governance, partnership",SME and entrepreneurship,10,2769059.2,80%,,,,,,EUSBSR,https://interreg-baltic.eu/project/sustool/,False,C1
