Interfacial Functional Layer,Original Submitted Term,Verdict (DROP / KEEP / REWRITE),WG3-Rewritten / Accepted Term Label,Why this term matters (simple),RSAM Anchor (Trigger → Performance),Contributor (original),Contributor discipline/sector,Contributor(s) of similar/anchor proposal,Humanities & Social Sciences,Technology & Engineering,Port Management & Economics,Planning & Transportation,Source field,Submitted definition (as provided),Submission date/time
Boundary & Translation (Interpretation),Multi,REWRITE,Multi (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Renata Costa,Research,,HSS,,,,Term 5 and description,"level governance involving a coordinated decision-making across scales (municipal, port authority, regional, national, EU/IMO) and sectors (energy, transport, industry).",30/01/2026 10.45.10
Boundary & Translation (Interpretation),E,REWRITE,E (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Renata Costa,Research,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Add more terms and their descriptions,"fuels (synthetic fuels / Power-to-X fuels), including liquid/gaseous fuels made using renewable electricity (often via hydrogen).",30/01/2026 10.45.10
Boundary & Translation (Interpretation),Well,REWRITE,Well (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Renata Costa,Research,,HSS,,,,Add more terms and their descriptions,to-wake including full-chain emissions accounting for fuels and energy.,30/01/2026 10.45.10
Performance & Design (Action),"Green shipping corridor, including routes where ports, carriers, and fuel suppliers coordinate to deploy low/zero",REWRITE,Renewable / Green Shipping Corridors (operationalised),"Needs defined spatial route, infrastructure and governance conflicts",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Renata Costa,Research,,HSS,,,P&T,Add more terms and their descriptions,emission shipping.,30/01/2026 10.45.10
Boundary & Translation (Interpretation),"Energy sprawl refers to the increasing, expansive land",REWRITE,"Energy sprawl refers to the increasing, expansive land (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Renata Costa,Research,Francesca Savoldi,HSS,,,,Add more terms and their descriptions,use footprint of energy infrastructure.,30/01/2026 10.45.10
Boundary & Translation (Interpretation),Hard,REWRITE,Hard (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Renata Costa,Research,,HSS,,,,Add more terms and their descriptions,"to-abate sectors, including those with limited near-term decarbonization options (shipping, heavy industry).",30/01/2026 10.45.10
Boundary & Translation (Interpretation),Stakeholder,REWRITE,Stakeholder (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Maria Elena Buslacchi,Anthropology and sociology,Colette Szczepaniak,HSS,,,,Term 1 and description,"an actor - individual, organizational, or institutional - who holds an interest, a form of influence, or a degree of responsibility within a collaborative process. Stakeholders contribute knowledge, resources, and perspectives that shape decisions and collective outcomes.",30/01/2026 11.00.36
Boundary & Translation (Interpretation),Cluster,REWRITE,Cluster (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Maria Elena Buslacchi,Anthropology and sociology,,HSS,,,,Term 2 and description,"a grouping of interconnected actors who share complementary roles and interests within a defined area. Clusters emerge through repeated interactions that can be institutionalised and facilitate coordinated action, knowledge exchange, mutual support within a broader network.",30/01/2026 11.00.36
Boundary & Translation (Interpretation),Community,REWRITE,Community (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Maria Elena Buslacchi,Anthropology and sociology,,HSS,,,,Term 3 and description,"A set of participants who share representations, practices and values. A community forms around social ties, trust, shared objectives and a sense of belonging, rather than solely through geographic proximity.",30/01/2026 11.00.36
Boundary & Translation (Interpretation),Ecosystem,REWRITE,Ecosystem (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Maria Elena Buslacchi,Anthropology and sociology,,HSS,,,,Term 4 and description,"A dynamic configuration of diverse, interdependent actors whose interactions create a relational environment. An ecosystem highlights complexity, mutual dependance and influence, as well as the co‑evolution of roles, practices, and forms of cooperation.",30/01/2026 11.00.36
Governance & Scale Integration (Systemic),Governance,REWRITE,Governance (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Maria Elena Buslacchi,Anthropology and sociology,Colette Szczepaniak,HSS,,,,Term 5 and description,"a set of processes and coordination mechanisms through which diverse actors collectively shape decisions and actions. Governance emphasizes distributed authority, negotiation, and shared responsibility; it highlights how rules, norms, and interactions structure cooperation within complex networks.",30/01/2026 11.00.36
Boundary & Translation (Interpretation),"Territorial ecology. 
The study of socio",REWRITE,"Territorial ecology. 
The study of socio (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Grysole Amélie,sociology,,HSS,,,,Term 1 and description,"ecological interactions within a geographical space, and more specifically the circulation of material and energy flows within human societies and in interaction with the biosphere + political dimension : community of actors around the emergence of a territorial system based on the dynamics of socio-ecological interactions, modalities of governance of these flows of materials and energy within collaborative projects. (Buclet, Certeau, 2019)",30/01/2026 12.26.12
Boundary & Translation (Interpretation),"Environmental justice. 
Measuring and mapping socio",REWRITE,"Environmental justice. 
Measuring and mapping socio (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: unequal exposure → Translation: fairness claim → Performance: redesign/compensation/governance reform,Grysole Amélie,sociology,Colette Szczepaniak,HSS,,,,Term 2 and description,"environmental inequalities, or analysing processes of “environmental segregation”. Environmental justice is a concept used by local movements to denounce situations of injustice related to environmental conditions, and by global initiatives and public policies/institutions at national level. This concerns inequalities in access to resources (water, land, forest resources, etc.) and their appropriation (by social groups, private companies, states), territorial inequalities, and inequalities in terms of nuisances and risks related to unequal responsibilities. (Blanchon, Moreau, Veyret, 2009)",30/01/2026 12.26.12
Boundary & Translation (Interpretation),"Territory. 
A complex system comprising three subsystems",REWRITE,"Territory. 
A complex system comprising three subsystems (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Grysole Amélie,sociology,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 3 and description,"geographical space (in its natural, anthropised, social and institutionalised dimensions), the system of actors and the system of representations of geographical space. Territorial diagnosis makes it possible to highlight a common territory and a territorial project at the interface of territorial representations of human actors (economic, political, institutional actors, associations, healthcare professionals, inhabitants, farmers, etc.) and non-human actors in order to set the ‘territorial system’ (ecosystem, anthropic system, biophysical support) in motion. (Cerceau, Junqua, Gonzalez, Laforest and Lopez-Ferber, 2019)",30/01/2026 12.26.12
Boundary & Translation (Interpretation),City,REWRITE,City (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Grysole Amélie,sociology,Francesca Savoldi,HSS,,,,Term 4 and description,"port interface.
A lived-in area that reveals neighbourhoods whose lives are shaped by the decisions of a port or major projects with which the local population has often no connection. The term ‘back-port neighbourhoods’ echoes a status that is disparaged, even relegated. This raises the question of the coexistence of the city and the port and of a ‘right to live’ or ‘right to territory’ for inhabitants. Port neighbourhoods have a high concentration of substandard housing, which is home to a significante proportion of first-time residents and households in precarious situations. More broadly, ports are also often borders, which brings up the question of the right to enter and the right to leave or remain in the city for international migrants.  (Bertoncello, Hagel, 2016)",30/01/2026 12.26.12
Boundary & Translation (Interpretation),"Profane catalysis. 
The presence of non",REWRITE,"Profane catalysis. 
The presence of non (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Grysole Amélie,sociology,,HSS,,,,Term 5 and description,"experts and novices in interdisciplinary meetings forces experts and specialists to simplify their knowledge within the context of a major project. Information is then conveyed using common language, which benefits the entire group by reducing the barriers inherent in interdisciplinary meetings (where participants have divergent interests and objectives). In the field of participation, non-expert catalysis brings additional legitimacy to citizen consultations. In addition to their democratic legitimacy, citizens can thus be endowed with technical legitimacy. (Callon, 1998; Naudon, 2021)",30/01/2026 12.26.12
Boundary & Translation (Interpretation),Co,REWRITE,Co (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Aysu Gurman,Architecture / Academia,Mosè Rossi,HSS,,,,Term 1 and description,Design,02/02/2026 9.30.40
Boundary & Translation (Interpretation),Energy Democracy,REWRITE,Energy Democracy (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Aysu Gurman,Architecture / Academia,Francesca Savoldi,HSS,,,,Term 2 and description,,02/02/2026 9.30.40
Boundary & Translation (Interpretation),Socio,REWRITE,Socio (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Aysu Gurman,Architecture / Academia,,HSS,,,,Term 3 and description,Spatial Literacy,02/02/2026 9.30.40
Boundary & Translation (Interpretation),Tactical Urbanism,REWRITE,Tactical Urbanism (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Aysu Gurman,Architecture / Academia,,HSS,,,P&T,Term 4 and description,,02/02/2026 9.30.40
Governance & Scale Integration (Systemic),Adaptive Governance,REWRITE,Adaptive Governance (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Aysu Gurman,Architecture / Academia,Colette Szczepaniak,HSS,,,,Term 5 and description,,02/02/2026 9.30.40
Boundary & Translation (Interpretation),Port,REWRITE,Port (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Sinem Duygu KAPCI,Municipality,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 1 and description,"City Energy Transition;The shift in how port cities produce, use, and manage energy, where ports move from being major fossil fuel users to active players in low-carbon energy systems linked to the city and surrounding region.",05/02/2026 7.01.03
Boundary & Translation (Interpretation),Multi,REWRITE,Multi (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Sinem Duygu KAPCI,Municipality,,HSS,,,,Term 2 and description,"Energy Hubs

Port areas that bring together different energy sources,such as electricity, hydrogen, and alternative fuels,and distribute them to ships, industries, and urban users.",05/02/2026 7.01.03
Boundary & Translation (Interpretation),"Industrial Decarbonization Clusters

Groups of energy",REWRITE,"Industrial Decarbonization Clusters

Groups of energy (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Sinem Duygu KAPCI,Municipality,,HSS,,,,Term 3 and description,intensive industries located around ports that work together to reduce emissions by sharing clean energy infrastructure and technologies.,05/02/2026 7.01.03
Boundary & Translation (Interpretation),"Port Authority as Energy Transition Actor

The role of port authorities in guiding energy transition through planning, investment choices, and coordination with public and private stakeholders.",REWRITE,"Port Authority as Energy Transition Actor

The role of port authorities in guiding energy transition through planning, investment choices, and coordination with public and private stakeholders. (PCT-situated)",Potentially relevant but needs explicit PCT anchoring and RSAM translation,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Sinem Duygu KAPCI,Municipality,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,PM&E,P&T,Term 4 and description,,05/02/2026 7.01.03
Boundary & Translation (Interpretation),"Just Energy Transition in Port Cities

An approach that considers how energy transition affects workers, local communities, and jobs in port cities, aiming to ensure that the transition is fair and inclusive.",REWRITE,"Just Energy Transition in Port Cities

An approach that considers how energy transition affects workers, local communities, and jobs in port cities, aiming to ensure that the transition is fair and inclusive. (PCT-situated)",Potentially relevant but needs explicit PCT anchoring and RSAM translation,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Sinem Duygu KAPCI,Municipality,Francesca Savoldi,HSS,,,,Term 5 and description,,05/02/2026 7.01.03
Boundary & Translation (Interpretation),"Offshore Wind Energy
Electricity generation from wind turbines installed near or within port areas, using strong and consistent coastal winds to supply clean energy for port operations.",REWRITE,"Offshore Wind Energy
Electricity generation from wind turbines installed near or within port areas, using strong and consistent coastal winds to supply clean energy for port operations. (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Cristina del Pilar Buenaño Mariño,Civil Engineer,,HSS,,,,Term 1 and description,,05/02/2026 7.21.03
Boundary & Translation (Interpretation),"Shore Power (Cold Ironing)
A system that allows ships to connect to the local electrical grid while docked, enabling them to turn off onboard fossil",KEEP,On-Shore Power Supply (OPS) / Cold Ironing,"Material, sensed intervention at berth; direct RSAM chain to mitigation and grid planning",Trigger: berth hum/vibration/smell change → Translation: OPS adoption debate → Performance: grid upgrade + OPS rollout,Cristina del Pilar Buenaño Mariño,Civil Engineer,,HSS,T&E,,,Term 2 and description,"fuel engines and reduce greenhouse gas emissions, air pollution, and noise in port areas.",05/02/2026 7.21.03
Performance & Design (Action),"Wave Energy
Electricity generated from the motion of ocean waves using energy converters installed near port infrastructures, providing a predictable and renewable energy source for port facilities and coastal operations.",REWRITE,Renewable / Green Shipping Corridors (operationalised),"Needs defined spatial route, infrastructure and governance conflicts",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Cristina del Pilar Buenaño Mariño,Civil Engineer,Francesca Savoldi,HSS,,,P&T,Term 3 and description,,05/02/2026 7.21.03
Performance & Design (Action),"Policy Incentives
Public measures such as subsidies, tax reductions, or grants designed to encourage the adoption of renewable energy technologies and low",REWRITE,Renewable / Green Shipping Corridors (operationalised),"Needs defined spatial route, infrastructure and governance conflicts",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Cristina del Pilar Buenaño Mariño,Civil Engineer,,HSS,,,P&T,Term 4 and description,carbon infrastructure.,05/02/2026 7.21.03
Boundary & Translation (Interpretation),"Regulatory Alignment 
Harmonization of local, national, and international regulations to support clean energy deployment in ports.",REWRITE,"Regulatory Alignment 
Harmonization of local, national, and international regulations to support clean energy deployment in ports. (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Cristina del Pilar Buenaño Mariño,Civil Engineer,,HSS,,,,Term 5 and description,,05/02/2026 7.21.03
Boundary & Translation (Interpretation),Port,REWRITE,Port (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Term 1 and description,"Integrated Energy System (PIES)

Description:
A coordinated energy system that integrates electricity supply, renewable generation, energy storage, and demand from port operations, industrial areas, and adjacent urban zones. PIES aims to enhance energy efficiency, decarbonisation, and grid reliability in port city territories through integrated planning and system operation.",05/02/2026 9.48.27
Boundary & Translation (Interpretation),"Shore Power (Onshore Power Supply, OPS)

Description",KEEP,On-Shore Power Supply (OPS) / Cold Ironing,"Material, sensed intervention at berth; direct RSAM chain to mitigation and grid planning",Trigger: berth hum/vibration/smell change → Translation: OPS adoption debate → Performance: grid upgrade + OPS rollout,Emrah Cetin,Electrical and Electronics Engineering,,HSS,T&E,,,Term 2 and description,"The provision of electrical power from the onshore grid to vessels at berth, enabling ships to switch off auxiliary engines. OPS contributes to the reduction of greenhouse gas emissions and local air pollution in port cities and requires dedicated grid infrastructure, power conversion systems, and compliance with international technical standards.",05/02/2026 9.48.27
Performance & Design (Action),"Distributed Renewable Energy Integration

Description",REWRITE,Renewable / Green Shipping Corridors (operationalised),"Needs defined spatial route, infrastructure and governance conflicts",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,,HSS,,,P&T,Term 3 and description,"The connection and operation of decentralised renewable energy sources, such as photovoltaic and wind systems, within distribution networks. In port city contexts, effective integration requires advanced grid management to address variability, voltage control, and network capacity constraints.",05/02/2026 9.48.27
Performance & Design (Action),"Industrial and Port Microgrids

Description",REWRITE,Port Microgrids (emissions/legitimacy implications),Needs territorial scope and governance translation,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,Colette Szczepaniak,HSS,T&E,,,Term 4 and description,"Localised energy systems capable of operating in both grid-connected and islanded modes, supplying critical port and industrial loads. Microgrids support higher renewable penetration, improve system resilience, and enable flexible energy management in port territories.",05/02/2026 9.48.27
Performance & Design (Action),"Energy Storage Systems (ESS)

Description",REWRITE,Port-Based Energy Storage (siting/safety conflicts),"Generic unless tied to siting, risk perception and planning",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,Francesca Savoldi,HSS,T&E,,,Term 5 and description,"Technologies that store electrical energy for later use, including battery-based and hybrid systems. ESS provides grid flexibility by balancing renewable generation, managing peak demand, and supporting frequency and voltage stability in port and urban distribution networks.",05/02/2026 9.48.27
Boundary & Translation (Interpretation),Term 6,REWRITE,Term 6 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,,HSS,,,,Add more terms and their descriptions,Electrification of Port and Logistics Operations,05/02/2026 9.48.27
Boundary & Translation (Interpretation),Description,REWRITE,Description (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,,HSS,,,,Add more terms and their descriptions,,05/02/2026 9.48.27
Boundary & Translation (Interpretation),The replacement of fossil,REWRITE,The replacement of fossil (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,Colette Szczepaniak,HSS,,,,Add more terms and their descriptions,"fuel-based equipment with electrically powered alternatives in port handling, logistics, and transport activities. Electrification is a key pathway for decarbonisation but requires adequate grid capacity, charging infrastructure, and power quality management.",05/02/2026 9.48.27
Boundary & Translation (Interpretation),Term 7,REWRITE,Term 7 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,,HSS,,,,Add more terms and their descriptions,Power Quality and Grid Stability,05/02/2026 9.48.27
Boundary & Translation (Interpretation),Description,REWRITE,Description (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,,HSS,,,,Add more terms and their descriptions,,05/02/2026 9.48.27
Performance & Design (Action),"The maintenance of acceptable voltage, frequency, and waveform characteristics within electrical networks supplying port and industrial loads. Power quality and stability are critical enabling conditions for the reliable operation of electrified port infrastructure and renewable energy systems.",REWRITE,Renewable / Green Shipping Corridors (operationalised),"Needs defined spatial route, infrastructure and governance conflicts",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,Colette Szczepaniak,HSS,,,P&T,Add more terms and their descriptions,,05/02/2026 9.48.27
Boundary & Translation (Interpretation),Term 8,REWRITE,Term 8 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,,HSS,,,,Add more terms and their descriptions,Renewable Energy Curtailment,05/02/2026 9.48.27
Boundary & Translation (Interpretation),Description,REWRITE,Description (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,,HSS,,,,Add more terms and their descriptions,,05/02/2026 9.48.27
Performance & Design (Action),"The reduction of renewable electricity output due to network constraints, system security requirements, or limited demand. Curtailment indicates structural challenges in grid integration and highlights the need for network reinforcement, storage solutions, and advanced control strategies.",REWRITE,Renewable / Green Shipping Corridors (operationalised),"Needs defined spatial route, infrastructure and governance conflicts",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,Colette Szczepaniak,HSS,,,P&T,Add more terms and their descriptions,,05/02/2026 9.48.27
Boundary & Translation (Interpretation),Term 9,REWRITE,Term 9 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,,HSS,,,,Add more terms and their descriptions,Sector Coupling,05/02/2026 9.48.27
Boundary & Translation (Interpretation),Description,REWRITE,Description (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,,HSS,,,,Add more terms and their descriptions,,05/02/2026 9.48.27
Performance & Design (Action),"The integration of the electricity sector with transport, heating, industry, and fuel production systems. In port cities, sector coupling enables synergies between electrified transport, renewable energy, and emerging solutions such as hydrogen and power",REWRITE,Renewable / Green Shipping Corridors (operationalised),"Needs defined spatial route, infrastructure and governance conflicts",Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,Colette Szczepaniak,HSS,,,P&T,Add more terms and their descriptions,to-X technologies.,05/02/2026 9.48.27
Boundary & Translation (Interpretation),Term 10,REWRITE,Term 10 (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,,HSS,,,,Add more terms and their descriptions,Multi-Level Energy Governance in Port Cities,05/02/2026 9.48.27
Boundary & Translation (Interpretation),Description,REWRITE,Description (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,,HSS,,,,Add more terms and their descriptions,,05/02/2026 9.48.27
Boundary & Translation (Interpretation),"A governance framework that coordinates local, regional, national, and European actors in planning and implementing energy transition measures. Effective multi",REWRITE,Energy Transition in Port–City Territories (PCT-situated),Must be territorialised and conflict-enabled for WG3 use,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Emrah Cetin,Electrical and Electronics Engineering,Anas Alamoush; Georgi Hrenov; Hala J El-Khozondar; Şakir Mirza,HSS,,,,Add more terms and their descriptions,"level governance aligns port authorities, municipalities, grid operators, and policymakers with technical grid realities and climate objectives.",05/02/2026 9.48.27
Boundary & Translation (Interpretation),Smart Grids,REWRITE,Smart Grids (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Gintare Stankuniene,Energy economics,,HSS,,,,Term 1 and description,"Smart grids in port contexts involve advanced systems to manage diverse energy sources, including renewables, optimizing consumption and ensuring stability amid variable inputs like solar or wind.",05/02/2026 10.54.19
Performance & Design (Action),Port Energy Hubs,KEEP,Port-Based Energy / Hydrogen Hub,"Port as multi-vector node; high contestation potential (space, risk, jobs, benefits)","Trigger: new energy facility siting cues → Translation: risk/benefit negotiation → Performance: design, siting, safety, governance",Gintare Stankuniene,Energy economics,,HSS,T&E,PM&E,,Term 2 and description,"Port energy hubs refer to infrastructure in ports for producing, storing, and distributing low-carbon fuels like green hydrogen and ammonia, transforming ports into active energy suppliers for ships and nearby industries.",05/02/2026 10.54.19
Governance & Scale Integration (Systemic),Stakeholder Governance,REWRITE,Stakeholder Governance (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Gintare Stankuniene,Energy economics,Colette Szczepaniak,HSS,,,,Term 3 and description,"Stakeholder governance addresses coordinating port authorities, operators, shipping lines, and communities through models like public-private partnerships to align interests and investments for energy transitions.",05/02/2026 10.54.19
Boundary & Translation (Interpretation),Onshore Power Supply (OPS),KEEP,On-Shore Power Supply (OPS) / Cold Ironing,"Material, sensed intervention at berth; direct RSAM chain to mitigation and grid planning",Trigger: berth hum/vibration/smell change → Translation: OPS adoption debate → Performance: grid upgrade + OPS rollout,Gintare Stankuniene,Energy economics,,HSS,T&E,,,Term 4 and description,"OPS refers to standardized electrical systems enabling ships to draw clean power from port grids, with plugs and transformers sized for high-voltage needs of large vessels.",05/02/2026 10.54.19
Performance & Design (Action),Electrification (of Port and Port,REWRITE,Electrification (of Port and Port (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Gintare Stankuniene,Energy economics,Mosè Rossi,HSS,T&E,,,Term 5 and description,"City Systems):
Electrification refers to the replacement of fossil-fuel–based energy uses with electricity across port and urban activities—such as cargo handling equipment, terminal operations, hinterland transport, ferries, and urban mobility.",05/02/2026 10.54.19
Boundary & Translation (Interpretation),Transition Risk and Uncertainty,REWRITE,Transition Risk and Uncertainty (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Gintare Stankuniene,Energy economics,Colette Szczepaniak,HSS,,,,Add more terms and their descriptions,,05/02/2026 10.54.19
Boundary & Translation (Interpretation),"Refers to regulatory, technological, and market uncertainties that discourage investment in low",REWRITE,"Refers to regulatory, technological, and market uncertainties that discourage investment in low (PCT-situated)",Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Gintare Stankuniene,Energy economics,Francesca Savoldi,HSS,,PM&E,,Add more terms and their descriptions,"carbon solutions in ports, especially given long asset lifetimes and global competition pressures.",05/02/2026 10.54.19
Boundary & Translation (Interpretation),Land,REWRITE,Land (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Hadi El Hage,Architecture and Urban Planning,,HSS,,,,Term 1 and description,"water continuum:
The land–water continuum refers to a conceptual framework that understands terrestrial and aquatic environments as interdependent and continuously connected systems rather than as discrete or oppositional domains. It emphasizes the reciprocal flows of matter, energy, ecological processes, infrastructures, and human activities across land–water interfaces, highlighting their co-evolution through natural dynamics, spatial practices, and governance arrangements.",05/02/2026 16.03.17
Boundary & Translation (Interpretation),Land,REWRITE,Land (PCT-situated),Unclear PCT anchoring; rewrite needed to become boundary/action term,Trigger: sensory cue → Translation: boundary term → Performance: design/governance intervention,Hadi El Hage,Architecture and Urban Planning,,HSS,,,,Term 2 and description,"water edge:
The land–water edge refers to the physical and functional boundary at which terrestrial and aquatic environments meet, constituting the spatial manifestation of land–water interactions within urban and port contexts. This edge may take the form of fixed, engineered structures or flexible, adaptive configurations responsive to hydrological variability and water-level fluctuations. Its spatial articulation conditions patterns of accessibility, connectivity, and permeability, thereby shaping the intensity and nature of ecological, social, and infrastructural interactions between land-based and water-based systems. As such, the land–water edge operates not only as a material interface but also as a mediator of environmental processes, human activities, and spatial practices.",05/02/2026 16.03.17
