"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Development Studies: Across Disciplines, Knowledge Hierarchies and Oceanic Spaces","https://scispace.com/paper/IWWVa_YiTLUJ","","","","H Alff
AK Hornidge","","","- **Relevance Score:** 17/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses oceanic turn to explore more‑than‑human ocean agency, but lacks clear sociological framing, governance analysis, community focus, urban links, or integrated framework.",""
"To be, to do, to share: the triple-loop of water governance to improve urban water resilience—testing the Benidorm'experience, Spain","https://scispace.com/paper/92M8oWyjGN8J","","","","S Ricart
AM Rico-Amorós","","https://www.mdpi.com/2073-445X/11/1/121/pdf","- **Relevance Score:** 17/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses hydrosocial framework to analyze urban water resilience; mentions coastal tourism community and urban planning, but lacks explicit blue sociology, posthuman, or ocean governance integration.",""
"Review: Social science to accelerate coastal adaptation to sea-level rise — R0/PR2","https://scispace.com/paper/review-social-science-to-accelerate-coastal-adaptation-to-18x0y9q0b6","2023","Peer Review","","","10.1017/cft.2023.25.pr2","https://scispace.compdf/review-social-science-to-accelerate-coastal-adaptation-to-18x0y9q0b6.pdf","- **Relevance Score:** 17/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses extensive coastal adaptation literature to map stakeholder practices and governance, but lacks explicit blue‑sociology, posthuman, or urban‑coastal linkages; integration of all criteria is absent.","The latest IPCC report estimates that approximately 1 billion people will be at risk from coastal hazards in the near term due to coastal population increase, sea-level rise and other coastal changes. This will occur in a world that is changing rapidly due to climate change, ecosystem decline, human development and the projected transformations of the economy to meet the objectives of the Paris Agreement. In this context, social sciences provide a pivotal perspective to coastal adaptation, for example, while assessing barriers and opportunities across scales, from local to global. This scoping review explores how social sciences support coastal adaptation. We show that Political Sciences, Economics, Sociology and Geography are already supporting coastal adaptation. Yet, scientific fields such as legal sciences, psychology, history and archaeology as well as anthropology and ethnography are less developed in the context of coastal adaptation to sea-level rise. New research avenues could also integrate education, media and communication research and aim at truly interdisciplinary studies linking different branches of social sciences with coastal science and climate services. This effort could help moving from a coastal adaptation often focused on coastal engineering protection to a broader vision of coastal resilient development, also addressing the challenges of mitigation, sustainable development and coastal ecosystem decline. "
"Toward a Sociology of Oceans.","https://scispace.com/paper/toward-a-sociology-of-oceans-1gxzcbw65w","2017","Journal Article","Canadian Review of Sociology-revue Canadienne De Sociologie","John A. Hannigan","10.1111/CARS.12136","","- **Relevance Score:** 17/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Proposes a dedicated sociology of oceans, using Deleuze‑Guattari theory to hint at posthuman agency and touches on geopolitical/resource governance, but lacks community focus, hydrosocial analysis, urban links, and integrated framework.","Despite covering around 70 percent of the earth's surface, the ocean has long been ignored by sociology or treated as merely an extension of land-based systems. Increasingly, however, oceans are assuming a higher profile, emerging both as a new resource frontier, a medium for geopolitical rivalry and conflict, and a unique and threatened ecological hot spot. In this article, I propose a new sociological specialty area, the ""sociology of oceans"" to be situated at the interface between environmental sociology and traditional maritime studies. After reviewing existing sociological research on maritime topics and the consideration of (or lack of consideration) the sea by classic sociological theorists, I briefly discuss several contemporary sociological approaches to the ocean that have attracted some notice. In the final section of the paper, I make the case for a distinct sociology of oceans and briefly sketch what this might look like. One possible trajectory for creating a shared vision or common paradigm, I argue, is to draw on Deleuze and Guattari's dialectical theory of the smooth and the striated. Meme s'il couvre 70% de la surface de la Terre, l'ocean a ete longtemps ignore en sociologie ou traite comme une extension des systemes terrestres. De plus en plus, toutefois, l'ocean retient l'attention, en etant vu comme une nouvelle frontiere en termes de ressources, un medium pour les rivalites et les conflits geopolitiques, et un lieu ecologique nevralgique et unique. Dans cet article, je propose une nouvelle specialisation sociologique, la 'sociologie des oceans', se situant dans l'interface entre la sociologie environnementale et les etudes maritimes traditionnelles. Apres une recension de la recherche sociologique existante sur les sujets maritimes et la prise en compte (ou l'absence de prise en compte) de l'ocean par les theoriciens de la sociologie classique, je discute brievement quelques approches sociologiques contemporaines de l'ocean ayant attire l'attention. Dans la derniere partie de l'article, j'insiste sur le besoin d'une sociologie distincte de l'ocean et je presente brievement a quoi cela pourrait ressembler. Une voie possible pour creer une vision commune ou un paradigme, selon moi, est de s'inspirer de la theorie dialectique du lisse et du strie de Deleuze et Guattari."
"The State of Marine Social Science: Yesterday, Today, and into the Future","https://scispace.com/paper/the-state-of-marine-social-science-yesterday-today-and-into-20iwvtaqmj","2024","Journal Article","Annual Review of Marine Science","Ana K. Spalding
Emma McKinley","10.1146/annurev-marine-121422-015345","","- **Relevance Score:** 15/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Reviews marine social science history and themes, mentions communities and policy relevance, but lacks explicit blue sociology, posthuman theory, hydrosocial framing, urban links, or integrated framework.","Rapidly changing ocean conditions are resulting in changes in marine species and across entire ecosystems that, in turn, affect communities and individuals who rely on these resources for their livelihoods, culture, and sustenance. Marine social science, an emerging field that embraces diverse methods to understand human-ocean relationships, is increasingly called on to contribute to transdisciplinary ocean science that can inform the evidence-based policy and management needed to address these changes. Here, we review the state of marine social science as a growing field of study. First, we outline the history of marine social science, including the emergence of the field and the social science disciplines and community it encompasses. We then discuss current marine social science research themes as a framework to understand key ocean issues, which is followed by a commentary on the future of marine social science research. "
"Review: Eco-creative nature-based solutions to transform urban coastlines, local coastal communities and enhance biodiversity through the lens of scientific and Indigenous knowledge — R0/PR4","https://scispace.com/paper/review-eco-creative-nature-based-solutions-to-transform-3j3yi28k","2022","Peer Review","","","10.1017/cft.2022.10.pr4","https://scispace.com/pdf/review-eco-creative-nature-based-solutions-to-transform-3j3yi28k.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses community co‑creation of nature‑based structures to support marginalised coastal groups; links urban shoreline redesign to local livelihoods, but lacks sociological theory, governance analysis, and integrated posthuman/hydrosocial framing.","Increasing anthropogenic pressure on the sea and alteration of coastscapes challenge the functioning of marine ecosystems and long-term reliance on blue economies, especially for developing southern economies. The structural hardening of shores can result in ecological disruptions, with cascading effects on the wellbeing and livelihoods of marginalised groups who depend on marine resources. Mitigation, adaptation and rehabilitation options for coastal developments should include innovative, socially responsible solutions to be used to modify shorelines and ensure long-term functionality of metropolitan coastal ecosystems. Nature-based innovations are being developed to improve surrogacy for natural marine ecosystems. The co-creation of nature-based structures, entailing partnerships between scientists and a local rural community is currently being considered in South Africa and we present this regional case study as a transdisciplinary framework for research in nature-based, ecological engineering of coastal systems. Novel transdisciplinary approaches include ecomusicological interventions, where traditional cultural expressions (TCEs) create opportunities for transgressive pedagogy. This step aims to ensure that the knowledge gathered through nature-based scientific research remains a part of community developed Indigenous knowledge systems. The merging of innovative, eco-creative approaches and TCEs has the potential to sustainably and ethically improve the functioning and diversity of coastal urban habitats. This review tackles the potential of transdisciplinary settings to transform urban coastlines using “low-tech” engineering and Indigenous eco-creative innovations to pedagogy, to benefit the people and biological communities as well as reduce social and gender inequalities. "
"Lake Ladoga. The Coastal History of the Greatest Lake in Europe","https://scispace.com/paper/lake-ladoga-the-coastal-history-of-the-greatest-lake-in-1mxc7kd2","2023","Journal Article","","","10.21435/sfh.27","https://scispace.com/pdf/lake-ladoga-the-coastal-history-of-the-greatest-lake-in-1mxc7kd2.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses Lake Ladoga’s environmental history to discuss human‑coast interactions, but lacks a blue‑sociology lens, governance analysis, urban focus, and integrated theoretical framework.","Aimed at researchers, students and all interested in history, this multidisciplinary study offers a spectacular view of the history of Europe’s largest lake. Adopting the lens of coastal history, this edited volume presents the development of the vast Great Lake’s catchment area over a long-time span, from archaeological traces to Viking routes and from fishery huts to luxury villas of the power elite. It reflects on people’s sensory-historical relationships with aquatic nature, and considers the benefits and harms of power plants and factories to human communities and the environment. The focus of the study is on the central and northern parts of the shores of Lake Ladoga, which belonged to Finnish rule between 1812 and 1944. The multidisciplinary approach permits an unusually wide range of questions. What has the Great Lake meant to local residents in cultural and emotional terms? How should we conceptualize the extensive and diverse networks of activities that surrounded the lake? What kind of Ladoga beaches did the Finns have to cede to the Soviet Union at the end of the war in 1944? How have Finns reminisced about their lost homelands? How have the Russians transformed the profile of the region, and what is the state of Ladoga’s waters today? The volume is the first overall presentation of Lake Ladoga, which today is entirely part of Russia, aimed at an international readership. The rich source material of cross-border research consists of both diverse archival material and chronicles, folklore, reminiscence, and modern satellite images. The history of Lake Ladoga helps readers to understand better the economic, political, and socio-cultural characteristics of the cross-border areas, and the dynamics of the vulnerable border regions. "
"4 | 2 | 2024 Ecologies of Life and Death in the Anthropocene","https://scispace.com/paper/4-2-2024-ecologies-of-life-and-death-in-the-anthropocene-5slazkwnzt77","2024","Journal Article","Lagoonscapes","","10.30687/lgsp/2785-2709/2024/02","https://scispace.compdf/4-2-2024-ecologies-of-life-and-death-in-the-anthropocene-5slazkwnzt77.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses posthuman theory to treat ocean as active agent; links death studies, queer theory, and water necropolitics, but lacks governance, community, urban, and explicit hydrosocial analysis.",""
"""… And not a single injustice remains”: Hydro-territorial colonization and techno-political transformations in Spain","https://scispace.com/paper/and-not-a-single-injustice-remains-hydro-territorial-4pcyrwv0e4","2018","Book Chapter","","Erik Swyngedouw
Rutgerd Boelens","10.1017/9781316831847.008","https://scispace.com/pdf/and-not-a-single-injustice-remains-hydro-territorial-4pcyrwv0e4.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses hydrosocial framework to analyze water‑territories in Spain; treats water as active agent, but lacks ocean focus, governance, coastal community, and blue‑urban links.","Introduction In this chapter, we explore how changing political visions, socio-cultural imaginaries and hydro-territorial configurations interact with shifting practices of water justice. In Plato’s Republic, Socrates comments that justice is what those in power consider just. Over the centuries, this statement has haunted any discussions and efforts to create a fairer society. Recent social-justice debate has extended to include the physical world as an integral component in structuring just/unjust socio-ecological relations. This chapter examines how hydro-territorial politics finds expression in the diverse actors’ confluences and encounters with spatial and political-geographical projects that compete, superimpose and align their territorialization strategies to strengthen their governance positions, ideologies and water-control claims. This continuously transforms the territory’s hydraulic grid, cultural reference frames, economic base structures and political relationships. Territorial struggles go beyond battles over natural resources per se, as they also involve conflicts over meaning, norms, knowledge, decision-making authority, representations and discourses. Policy actors commonly tend to present socio-natural, geopolitical territories as mere biophysical “nature” or legal-administrative “governance units,” portraying water problems and solutions as politically neutral, technical and managerial issues to be objectively managed through “rational water use” and “good governance” - a conscious or unconscious veil to legitimize deeply political choices sustaining specific political orders (Harris, 2009; Hommes et al., 2016; Perreault, 2014). Challenging such powerful conventions, we examine the contradictions, conflicts and societal responses generated by the configuration of hydrosocial territories (see Boelens et al., 2016; Swyngedouw and Williams, 2016); how water politics are ingrained in such socio-natural and techno-political arrangements, enhancing or challenging unequal distribution of resources and decision-making power in water governance (Boelens, 2015; Swyngedouw, 2015). Therefore, hydrosocial territories (imagined, planned or materialized) have contested functions, values and meanings as they define processes of inclusion and exclusion, development and marginalization, and the distribution of benefits and burdens that affect different groups of people in distinct but often deeply unequal manners. Taking the co-production of “nature and society” in twentieth-century Spain as our entry point, we seek to elucidate the relationship among transformations in and of “hydrosocial territory,” the state, and the contested modernization, and to tease out the multiple power relationships that enroll, transform and distribute water. In doing so, we seek to excavate how nature becomes political and, through this, how environmental reconfiguration parallels ongoing state transformation (Swyngedouw, 2014; cf. Carroll, 2012; Perreault et al., 2015)."
"Blue Legalities: The Life and Laws of the Sea","https://scispace.com/paper/blue-legalities-the-life-and-laws-of-the-sea-24ajf2xo9y","2019","Book","","Irus Braverman
Elizabeth R. Johnson","10.1215/9781478007289","","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses legal analysis to critique evolving ocean governance; mentions coastal stakes but lacks sociological, posthuman, hydrosocial, or urban dimensions, and does not integrate all criteria.","Blue Legalities is inspired by the emerging “blue turn” in social sciences and the humanities about oceans and their inhabitants. But as important and comprehensive as this “blue turn” has been, it has yet to substantively and creatively take up questions of ocean law and governance. Specifically, increasing concerns around warming temperatures, increased pollution, sea level rise, ocean acidification, bio-harvesting, and deep-sea and sand mining are driving regulatory changes and raising questions about the nature of territory, sovereignty, and long-established claims in international law. The rapid technological and ecological transformations that have taken place over the last few decades are now altering the ways that the seas are governed, suggesting an urgent need for more critical attention to the laws of the seas, in their broadest and most pluralistic articulations. Blue Legalities offers such an intensified analysis, focusing on the ways in which our political frameworks and legal infrastructures have been made, contested, and are currently being remade in the oceans."
"Maritime sociology: towards a delimation of themes and analytical frameworks","https://scispace.com/paper/maritime-sociology-towards-a-delimation-of-themes-and-l32v0le997","1981","Journal Article","Maritime Policy & Management","Michael Poole","10.1080/03088838100000046","","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses maritime sociology to map themes and frameworks, linking sociological lenses to ocean contexts; mentions societies but lacks posthuman, governance, hydrosocial, or urban analyses, and does not integrate these elements together.","This paper sets out to evaluate the main areas of focus within maritime sociology and to link more closely than hitherto the various substantive discussions with general theoretical and conceptual approaches. More specifically, it suggests directions in which maritime sociology may be advanced at both empirical and conceptual levels in the future."
"Reflections on the past, present, and potential futures of knowledge hierarchies in ocean biodiversity governance research","https://scispace.com/paper/reflections-on-the-past-present-and-potential-futures-of-llokuluf1y","2024","Journal Article","Frontiers in Marine Science","Holly J. Niner
David Wilson
Kelly Hoareau
Mia Strand
Jennifer Whittingham
Dylan McGarry
Bolanle Erinosho
Sulley Ibrahim
Sirkka Tshiningayamwe
Senia Febrica
Alana Malinde S.N. Lancaster
Milica Prokic","10.3389/fmars.2024.1347494","https://scispace.compdf/reflections-on-the-past-present-and-potential-futures-of-llokuluf1y.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses ocean biodiversity governance to critique knowledge hierarchies, engages governance structures, mentions marine social science and community contexts, but lacks explicit blue sociology, posthuman, hydrosocial, or urban linkages.","Governance of the ocean and its biodiversity is deeply entangled within social, political and cultural histories. The evolution of marine science has been subject to similar influences, and we (the authors) consider these factors to create, embed and reinforce knowledge hierarchies in ocean governance processes and associated research that set societal patterns of prioritisation and exclusion. Such knowledge hierarchies have constructed dominant Western-oriented knowledge systems as ‘rational’ and ‘objective’ approaches to environmental governance in contrast to non-Western knowledge systems and have led to a dominance of natural (normal) sciences over centralised biodiversity governance. The extraction and incorporation of traditional knowledge into the Western-oriented scientific canon through myriad historical and contemporary processes in ocean biodiversity governance often reproduce knowledge hierarchies, do not benefit knowledge holders and are often considered incomplete, inappropriate or absent. As we address current ocean biodiversity and conservation challenges, researchers must be aware of the history of knowledge extraction, impositions and assumptions within their fields. Researchers must also actively acknowledge and address these histories in their work to avoid marginalisation and support ethical, empathetic, and rigorous knowledge production that meets the needs of society. In this paper, through a development of the concept of knowledge hierarchies, we explore case studies of research diverse in geography and discipline ranging from action research in Namibia, the application of arts-based methodologies in legal proceedings to research focused at an international level, and the concept of ocean literacies, all of which are located under the umbrella of a project specifically targeting transformative ocean governance. It becomes evident that knowledge hierarchies are multi-layered, perpetuating, and often reproduced even when attempting to address hierarchies through such methods as the integration or ‘bringing together’ of diverse knowledge systems. Effective change will therefore require sensitive and multi-faceted approaches to knowledge hierarchies, including processes of embracing discomfort, which will be important to work with, as well as through. While there will be continued tensions between hierarchies, it is a sine qua non that researchers need to build a commitment to understanding where powers lie, rather than ignoring such imbalances or, similarly, by idealising approaches. "
"Maritime Culture Degradation of Indonesian Society in Social Practice of Seafaring","https://scispace.com/paper/maritime-culture-degradation-of-indonesian-society-in-social-23hjxeul","2023","Journal Article","AURELIA: Jurnal Penelitian dan Pengabdian Masyarakat Indonesia","Aini Nahdlia Puspita
Widodo Widodo
Abdul Rivai Ras
Pujo Widodo
Herlina Juni Risma Saragih","10.57235/aurelia.v2i1.286","https://scispace.com/pdf/maritime-culture-degradation-of-indonesian-society-in-social-23hjxeul.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses maritime sociology definitions to examine Indonesia's maritime culture decline; lacks posthuman agency, governance analysis, hydrosocial framing, and urban linkages, and does not integrate multiple criteria into a unified framework.","Indonesia since a long time ago has been known as a nation whose maritime is very strong, such as the activities or practices of seafaring which were carried out by the ancestors of the Indonesian nation. However, the current problem is the degradation of maritime culture in the social practices of seafaring. The purpose of this research is to find out the factors that cause Indonesian people not to go to sea and the degradation of maritime culture that occurs in Indonesian society in the social practices of seafaring. The method used in this study is a qualitative descriptive method with data sources derived from relevant books or journals. The results of this study, namely (1) the factors that cause people not to go to sea are due to unstable social economy for fisherman, climate change and erratic weather, fuel oil (BBM) which is difficult to obtain for ships, the use of technology that is still old technology, and the quota-based fisheries policy; and (2) the current degradation of maritime culture in Indonesian society is the transition from fisherman to other professions, such as farmers, foreign ship crews, and Indonesian migrant workers."
"Ocean Governance for Sustainability Transformation","https://scispace.com/paper/ocean-governance-for-sustainability-transformation-fb5yc68o","2023","Journal Article","MARE publication series","Alper AY","10.1007/978-3-031-20740-2_1","https://scispace.com/pdf/ocean-governance-for-sustainability-transformation-fb5yc68o.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses extensive policy review and case studies to examine marine spatial planning, fisheries law, and EU directives, but lacks sociological, posthuman, hydrosocial, or urban analyses.","Abstract This introductory chapter focuses on selected key events, features and policies of ocean governance that have had, or are likely to be needed in transforming how and why we govern the ocean sustainably. In doing so we outline examples of prominent historical events, important thematic areas of global development, policy instruments and the principles of governance processes that can transform the way society engages with the ocean. However, we acknowledge that such an overview cannot fully capture all issues, particularly how each is differentiated at regional and local levels. Accordingly, we introduce globally relevant issues and general principles, which will require further inquiry to fully unpack at the relevant levels and scales for engaged students, researchers, policy-makers and practitioners. Thus, we provide an overview of these topics from a multi- and inter-disciplinary perspective, supported by up-to-date literature. This is followed by a brief explanation of how the chapters in the book are organized into three parts, and how each chapter contributes to the book’s content, including a final chapter that outlines the takeaway points for students, researchers and policy-makers in pursuing ocean governance for sustainability transformation. "
"Africa Integrated Maritime Policy, blue growth and a new ocean governance: case studies from the Atlantic and the Indian Ocean","https://scispace.com/paper/africa-integrated-maritime-policy-blue-growth-and-a-new-2zigkvvj","2022","Journal Article","Western Indian Ocean journal of marine science","José Guerreiro","10.4314/wiojms.si2022.1.2","https://scispace.com/pdf/africa-integrated-maritime-policy-blue-growth-and-a-new-2zigkvvj.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Strong on governance—details maritime spatial planning and institutional coordination—but lacks sociological, more‑than‑human, hydrosocial, and urban analyses; only peripheral mention of coastal communities.","Integrated maritime and blue economy policies are changing ocean governance by introducing new policy drivers, reshaping institutional frameworks, as well as demanding new management instruments (e.g., Maritime Spatial Planning (MSP)). This started in 2007 though the European Union Integrated Maritime Policy approach, and in 2009 the Africa Union initiated a similar process, leading both to the Africa integrated maritime strategy as well as a blue economy strategy. Several countries, particularly in sub-Saharan Africa, began to look to blue economy as a booster to socioeconomic welfare and initiated the development of national strategies, together with the necessary adaptation of institutional and legal networks. Case studies address those processes at the transition from the Atlantic to the Indian Oceans, focusing on Angola, Namibia, South Africa, Tanzania and Kenya in the Southern African Development Community (SADC) region, as well as several African Small Islands Developing States (SIDS), particularly Cape Verde, S. Tomé and Príncipe, Seychelles, Madagascar and Mauritius. Findings show that all countries covered in the case studies are developing national ocean and/or blue economy strategies and adapting their governmental, institutional, and legal frameworks, although there is a deeper political impact in SIDS. Overall, these new policy drivers are leading to a new model of ocean governance by addressing integrated maritime policies and blue growth strategies, as well as introducing MSP as a new EEZ governance tool."
"Recommendation: Social science to accelerate coastal adaptation to sea-level rise — R1/PR8","https://scispace.com/paper/recommendation-social-science-to-accelerate-coastal-xtawpc81ki","2023","Peer Review","","","10.1017/cft.2023.25.pr8","https://scispace.compdf/recommendation-social-science-to-accelerate-coastal-xtawpc81ki.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses extensive political‑science and geography literature to map coastal adaptation governance; foregrounds stakeholder practices in sea‑facing communities, but lacks explicit blue‑sociology, posthuman, hydrosocial, or urban linkages.","The latest IPCC report estimates that approximately 1 billion people will be at risk from coastal hazards in the near term due to coastal population increase, sea-level rise and other coastal changes. This will occur in a world that is changing rapidly due to climate change, ecosystem decline, human development and the projected transformations of the economy to meet the objectives of the Paris Agreement. In this context, social sciences provide a pivotal perspective to coastal adaptation, for example, while assessing barriers and opportunities across scales, from local to global. This scoping review explores how social sciences support coastal adaptation. We show that Political Sciences, Economics, Sociology and Geography are already supporting coastal adaptation. Yet, scientific fields such as legal sciences, psychology, history and archaeology as well as anthropology and ethnography are less developed in the context of coastal adaptation to sea-level rise. New research avenues could also integrate education, media and communication research and aim at truly interdisciplinary studies linking different branches of social sciences with coastal science and climate services. This effort could help moving from a coastal adaptation often focused on coastal engineering protection to a broader vision of coastal resilient development, also addressing the challenges of mitigation, sustainable development and coastal ecosystem decline. "
"Decision: Social science to accelerate coastal adaptation to sea-level rise — R0/PR5","https://scispace.com/paper/decision-social-science-to-accelerate-coastal-adaptation-to-3j52r9fa84","2023","Peer Review","","","10.1017/cft.2023.25.pr5","https://scispace.compdf/decision-social-science-to-accelerate-coastal-adaptation-to-3j52r9fa84.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on coastal communities and adaptation policies, offering extensive discussion of stakeholder practices and governance, but lacks blue‑sociology, posthuman, hydrosocial, and urban linkages.","The latest IPCC report estimates that approximately 1 billion people will be at risk from coastal hazards in the near term due to coastal population increase, sea-level rise and other coastal changes. This will occur in a world that is changing rapidly due to climate change, ecosystem decline, human development and the projected transformations of the economy to meet the objectives of the Paris Agreement. In this context, social sciences provide a pivotal perspective to coastal adaptation, for example, while assessing barriers and opportunities across scales, from local to global. This scoping review explores how social sciences support coastal adaptation. We show that Political Sciences, Economics, Sociology and Geography are already supporting coastal adaptation. Yet, scientific fields such as legal sciences, psychology, history and archaeology as well as anthropology and ethnography are less developed in the context of coastal adaptation to sea-level rise. New research avenues could also integrate education, media and communication research and aim at truly interdisciplinary studies linking different branches of social sciences with coastal science and climate services. This effort could help moving from a coastal adaptation often focused on coastal engineering protection to a broader vision of coastal resilient development, also addressing the challenges of mitigation, sustainable development and coastal ecosystem decline. "
"Blue growth and ocean governance—how to balance the use and the protection of the seas","https://scispace.com/paper/blue-growth-and-ocean-governance-how-to-balance-the-use-and-46zy7d5ajf","2016","Journal Article","WMU journal of maritime affairs","Peter Ehlers","10.1007/S13437-016-0104-X","https://scispace.com/pdf/blue-growth-and-ocean-governance-how-to-balance-the-use-and-46zy7d5ajf.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses EU blue‑growth policy discussion to analyze governance; mentions coastal states but lacks sociological, posthuman, hydrosocial, or urban analyses, and does not integrate multiple frameworks.","The economic value of the oceans and maritime industry is strongly gaining in importance As the oceans are very large and particularly sensitive ecosystems, which need to be preserved, a balance between the use and the protection of the seas has to be found On this issue, the paper presents some thoughts starting with a brief analysis of what to understand by maritime industry which is labeled as blue economy, and a recapitulation of the main threats for the marine environment, caused by blue economy After that, some noteworthy prerequisites and criteria for finding a sound balance between the use and the protection of the seas will be highlighted, especially the need for sustainable ocean governance is put to discussion"
"Decision: Social science to accelerate coastal adaptation to sea-level rise — R1/PR9","https://scispace.com/paper/decision-social-science-to-accelerate-coastal-adaptation-to-3nb9n9332x","2023","Peer Review","","","10.1017/cft.2023.25.pr9","https://scispace.compdf/decision-social-science-to-accelerate-coastal-adaptation-to-3nb9n9332x.pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses extensive political‑science and geography literature to examine coastal adaptation governance and stakeholder decision‑making, but lacks explicit blue‑sociology, posthuman, hydrosocial, or urban linkages.","The latest IPCC report estimates that approximately 1 billion people will be at risk from coastal hazards in the near term due to coastal population increase, sea-level rise and other coastal changes. This will occur in a world that is changing rapidly due to climate change, ecosystem decline, human development and the projected transformations of the economy to meet the objectives of the Paris Agreement. In this context, social sciences provide a pivotal perspective to coastal adaptation, for example, while assessing barriers and opportunities across scales, from local to global. This scoping review explores how social sciences support coastal adaptation. We show that Political Sciences, Economics, Sociology and Geography are already supporting coastal adaptation. Yet, scientific fields such as legal sciences, psychology, history and archaeology as well as anthropology and ethnography are less developed in the context of coastal adaptation to sea-level rise. New research avenues could also integrate education, media and communication research and aim at truly interdisciplinary studies linking different branches of social sciences with coastal science and climate services. This effort could help moving from a coastal adaptation often focused on coastal engineering protection to a broader vision of coastal resilient development, also addressing the challenges of mitigation, sustainable development and coastal ecosystem decline. "
"The urban hydrosocial cycle: why should engineers care?","https://scispace.com/paper/the-urban-hydrosocial-cycle-why-should-engineers-care-1scgq65yfi","2023","Journal Article","Open research Europe","Lucia Alexandra Popartan
Manel Poch
Josep Pueyo-Ros
Ignasi Rodríguez-Roda","10.12688/openreseurope.16223.1","https://open-research-europe.ec.europa.eu/articles/3-174/pdf","- **Relevance Score:** 12/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses hydrosocial cycle framework to critique urban water management; lacks ocean‑specific sociology, governance, or community focus, and does not integrate all targeted elements.","The research in urban water management, especially in the Global North, has so far been predominantly driven by the pursuit of technological innovation, with the overarching goal of managing demand and supply of the resource, seeking cost efficiency, quality and sustainability standards. Thus, the urban water cycle has been envisioned and shaped by technical knowledge and interventions. However, in recent years, the complex challenges faced by cities and their water systems increased the awareness about the importance of the governance of water that cannot be treated simply a resource to be exploited. Critical scholars, coming especially from social sciences have explored the concept of hydrosocial cycle, aiming to capture the human and socio-political dimension of the water cycle. While interdisciplinarity remains a desiderate in the water sector, in practice, the interaction between disciplines has so far been scarce, given the differences in worldviews, epistemological and methodological postures. In this piece, we explore how the concept of urban hydrosocial cycle can form the basis for a critical research agenda which informs not only a reimagining of water management but also the planning and technological processes. We illustrate this in two different relevant research topics, taking a critical perspective to nature-based solutions and digitalisation."
